month,time_window,facility_type,facility,spaces,occupied
2025-08,Weekday afternoon,Ramps,Ramp 3,505,145
2025-08,Weekday afternoon,Surface lots,Lot 1,117,54
2025-08,Weekday afternoon,Surface lots,Lot 13,27,15
2025-08,Weekday afternoon,Surface lots,Lot 20,36,14
2025-08,Weekday afternoon,Surface lots,Lot 5,77,13
2025-08,Weekday afternoon,Surface lots,Lot 6,36,11
2025-08,Weekday afternoon,Surface lots,Lot 9,55,36
2025-08,Weekday evening,On-street,Zone 1,468,115
2025-08,Weekday evening,On-street,Zone 2,320,109
2025-08,Weekday evening,On-street,Zone 3,415,125
2025-08,Weekday evening,Ramps,Ramp 2,739,61
2025-08,Weekday evening,Ramps,Ramp 3,505,99
2025-08,Weekday evening,Surface lots,Lot 1,117,52
2025-08,Weekday evening,Surface lots,Lot 13,27,7
2025-08,Weekday evening,Surface lots,Lot 20,36,4
2025-08,Weekday evening,Surface lots,Lot 5,77,21
2025-08,Weekday evening,Surface lots,Lot 6,36,2
2025-08,Weekday evening,Surface lots,Lot 9,55,5
2025-08,Weekend evening,On-street,Zone 1,468,172
2025-08,Weekend evening,On-street,Zone 2,320,161
2025-08,Weekend evening,On-street,Zone 3,415,169
2025-08,Weekend evening,Ramps,Ramp 2,739,89
2025-08,Weekend evening,Ramps,Ramp 3,505,92
2025-08,Weekend evening,Surface lots,Lot 1,117,47
2025-08,Weekend evening,Surface lots,Lot 13,27,9
2025-08,Weekend evening,Surface lots,Lot 20,36,3
2025-08,Weekend evening,Surface lots,Lot 5,77,20
2025-08,Weekend evening,Surface lots,Lot 6,36,2
2025-08,Weekend evening,Surface lots,Lot 9,55,12
2025-09,Weekday afternoon,On-street,Zone 1,468,140
2025-09,Weekday afternoon,On-street,Zone 2,320,96
2025-09,Weekday afternoon,On-street,Zone 3,415,141
2025-09,Weekday afternoon,Ramps,Ramp 2,739,285
2025-09,Weekday afternoon,Ramps,Ramp 3,505,130
2025-09,Weekday afternoon,Surface lots,Lot 1,117,52
2025-09,Weekday afternoon,Surface lots,Lot 13,27,18
2025-09,Weekday afternoon,Surface lots,Lot 20,36,15
2025-09,Weekday afternoon,Surface lots,Lot 5,77,13
2025-09,Weekday afternoon,Surface lots,Lot 6,36,10
2025-09,Weekday afternoon,Surface lots,Lot 9,55,33
2025-09,Weekday evening,On-street,Zone 1,468,123
2025-09,Weekday evening,On-street,Zone 2,320,97
2025-09,Weekday evening,On-street,Zone 3,415,141
2025-09,Weekday evening,Ramps,Ramp 2,739,96
2025-09,Weekday evening,Ramps,Ramp 3,505,120
2025-09,Weekday evening,Surface lots,Lot 1,117,15
2025-09,Weekday evening,Surface lots,Lot 13,27,8
2025-09,Weekday evening,Surface lots,Lot 20,36,3
2025-09,Weekday evening,Surface lots,Lot 5,77,26
2025-09,Weekday evening,Surface lots,Lot 6,36,2
2025-09,Weekday evening,Surface lots,Lot 9,55,11
2025-09,Weekend evening,On-street,Zone 1,468,152
2025-09,Weekend evening,On-street,Zone 2,320,170
2025-09,Weekend evening,On-street,Zone 3,415,141
2025-09,Weekend evening,Ramps,Ramp 2,739,61
2025-09,Weekend evening,Ramps,Ramp 3,505,96
2025-09,Weekend evening,Surface lots,Lot 1,117,56
2025-09,Weekend evening,Surface lots,Lot 13,27,3
2025-09,Weekend evening,Surface lots,Lot 20,36,3
2025-09,Weekend evening,Surface lots,Lot 5,77,35
2025-09,Weekend evening,Surface lots,Lot 6,36,19
2025-09,Weekend evening,Surface lots,Lot 9,55,5
2025-10,Weekday afternoon,On-street,Zone 1,468,154
2025-10,Weekday afternoon,On-street,Zone 2,320,123
2025-10,Weekday afternoon,On-street,Zone 3,415,137
2025-10,Weekday afternoon,Ramps,Ramp 2,739,216
2025-10,Weekday afternoon,Ramps,Ramp 3,505,144
2025-10,Weekday afternoon,Surface lots,Lot 1,117,61
2025-10,Weekday afternoon,Surface lots,Lot 13,27,14
2025-10,Weekday afternoon,Surface lots,Lot 20,36,11
2025-10,Weekday afternoon,Surface lots,Lot 5,77,19
2025-10,Weekday afternoon,Surface lots,Lot 6,36,9
2025-10,Weekday afternoon,Surface lots,Lot 9,55,31
2025-10,Weekday evening,On-street,Zone 1,468,176
2025-10,Weekday evening,On-street,Zone 2,320,137
2025-10,Weekday evening,On-street,Zone 3,415,106
2025-10,Weekday evening,Ramps,Ramp 2,739,72
2025-10,Weekday evening,Ramps,Ramp 3,505,65
2025-10,Weekday evening,Surface lots,Lot 1,117,42
2025-10,Weekday evening,Surface lots,Lot 13,27,12
2025-10,Weekday evening,Surface lots,Lot 20,36,3
2025-10,Weekday evening,Surface lots,Lot 5,77,9
2025-10,Weekday evening,Surface lots,Lot 6,36,0
2025-10,Weekday evening,Surface lots,Lot 9,55,8
2025-10,Weekend evening,On-street,Zone 1,468,151
2025-10,Weekend evening,On-street,Zone 2,320,114
2025-10,Weekend evening,On-street,Zone 3,415,125
2025-10,Weekend evening,Ramps,Ramp 2,739,78
2025-10,Weekend evening,Ramps,Ramp 3,505,108
2025-10,Weekend evening,Surface lots,Lot 1,117,29
2025-10,Weekend evening,Surface lots,Lot 13,27,6
2025-10,Weekend evening,Surface lots,Lot 20,36,4
2025-10,Weekend evening,Surface lots,Lot 5,77,15
2025-10,Weekend evening,Surface lots,Lot 6,36,14
2025-10,Weekend evening,Surface lots,Lot 9,55,11
2025-11,Weekday afternoon,On-street,Zone 1,468,172
2025-11,Weekday afternoon,On-street,Zone 2,320,165
2025-11,Weekday afternoon,On-street,Zone 3,415,137
2025-11,Weekday afternoon,Ramps,Ramp 2,739,271
2025-11,Weekday afternoon,Ramps,Ramp 3,505,165
2025-11,Weekday afternoon,Surface lots,Lot 1,117,67
2025-11,Weekday afternoon,Surface lots,Lot 13,27,15
2025-11,Weekday afternoon,Surface lots,Lot 20,36,12
2025-11,Weekday afternoon,Surface lots,Lot 5,77,11
2025-11,Weekday afternoon,Surface lots,Lot 6,36,5
2025-11,Weekday afternoon,Surface lots,Lot 9,55,23
2025-11,Weekday evening,On-street,Zone 1,468,172
2025-11,Weekday evening,On-street,Zone 2,320,165
2025-11,Weekday evening,On-street,Zone 3,415,137
2025-11,Weekday evening,Ramps,Ramp 2,739,101
2025-11,Weekday evening,Ramps,Ramp 3,505,98
2025-11,Weekday evening,Surface lots,Lot 1,117,55
2025-11,Weekday evening,Surface lots,Lot 13,27,11
2025-11,Weekday evening,Surface lots,Lot 20,36,4
2025-11,Weekday evening,Surface lots,Lot 5,77,8
2025-11,Weekday evening,Surface lots,Lot 6,36,2
2025-11,Weekday evening,Surface lots,Lot 9,55,7
2025-11,Weekend evening,On-street,Zone 1,468,132
2025-11,Weekend evening,On-street,Zone 2,320,186
2025-11,Weekend evening,On-street,Zone 3,415,175
2025-11,Weekend evening,Ramps,Ramp 2,739,82
2025-11,Weekend evening,Ramps,Ramp 3,505,112
2025-11,Weekend evening,Surface lots,Lot 1,117,58
2025-11,Weekend evening,Surface lots,Lot 13,27,7
2025-11,Weekend evening,Surface lots,Lot 20,36,5
2025-11,Weekend evening,Surface lots,Lot 5,77,12
2025-11,Weekend evening,Surface lots,Lot 6,36,4
2025-11,Weekend evening,Surface lots,Lot 9,55,6
2025-12,Weekday afternoon,On-street,Zone 1,468,152
2025-12,Weekday afternoon,On-street,Zone 2,320,137
2025-12,Weekday afternoon,On-street,Zone 3,415,121
2025-12,Weekday afternoon,Ramps,Ramp 2,739,264
2025-12,Weekday afternoon,Ramps,Ramp 3,505,172
2025-12,Weekday afternoon,Surface lots,Lot 1,117,72
2025-12,Weekday afternoon,Surface lots,Lot 13,27,13
2025-12,Weekday afternoon,Surface lots,Lot 20,36,13
2025-12,Weekday afternoon,Surface lots,Lot 5,77,10
2025-12,Weekday afternoon,Surface lots,Lot 6,36,8
2025-12,Weekday afternoon,Surface lots,Lot 9,55,32
2025-12,Weekday evening,On-street,Zone 1,468,163
2025-12,Weekday evening,On-street,Zone 2,320,142
2025-12,Weekday evening,On-street,Zone 3,415,129
2025-12,Weekday evening,Ramps,Ramp 2,739,84
2025-12,Weekday evening,Ramps,Ramp 3,505,92
2025-12,Weekday evening,Surface lots,Lot 1,117,53
2025-12,Weekday evening,Surface lots,Lot 13,27,12
2025-12,Weekday evening,Surface lots,Lot 20,36,3
2025-12,Weekday evening,Surface lots,Lot 5,77,7
2025-12,Weekday evening,Surface lots,Lot 6,36,1
2025-12,Weekday evening,Surface lots,Lot 9,55,8
2025-12,Weekend evening,On-street,Zone 1,468,141
2025-12,Weekend evening,On-street,Zone 2,320,121
2025-12,Weekend evening,On-street,Zone 3,415,118
2025-12,Weekend evening,Ramps,Ramp 2,739,92
2025-12,Weekend evening,Ramps,Ramp 3,505,121
2025-12,Weekend evening,Surface lots,Lot 1,117,63
2025-12,Weekend evening,Surface lots,Lot 13,27,8
2025-12,Weekend evening,Surface lots,Lot 20,36,4
2025-12,Weekend evening,Surface lots,Lot 5,77,14
2025-12,Weekend evening,Surface lots,Lot 6,36,1
2025-12,Weekend evening,Surface lots,Lot 9,55,8
2026-01,Weekday afternoon,On-street,Zone 1,468,173
2026-01,Weekday afternoon,On-street,Zone 2,320,107
2026-01,Weekday afternoon,On-street,Zone 3,415,163
2026-01,Weekday afternoon,Ramps,Ramp 2,739,212
2026-01,Weekday afternoon,Ramps,Ramp 3,505,149
2026-01,Weekday afternoon,Surface lots,Lot 1,117,75
2026-01,Weekday afternoon,Surface lots,Lot 13,27,15
2026-01,Weekday afternoon,Surface lots,Lot 5,77,14
2026-01,Weekday afternoon,Surface lots,Lot 6,36,2
2026-01,Weekday afternoon,Surface lots,Lot 9,55,23
2026-01,Weekday evening,On-street,Zone 1,468,147
2026-01,Weekday evening,On-street,Zone 2,320,159
2026-01,Weekday evening,On-street,Zone 3,415,169
2026-01,Weekday evening,Ramps,Ramp 2,739,82
2026-01,Weekday evening,Ramps,Ramp 3,505,112
2026-01,Weekday evening,Surface lots,Lot 1,117,64
2026-01,Weekday evening,Surface lots,Lot 13,27,12
2026-01,Weekday evening,Surface lots,Lot 5,77,10
2026-01,Weekday evening,Surface lots,Lot 6,36,2
2026-01,Weekday evening,Surface lots,Lot 9,55,8
2026-01,Weekend evening,On-street,Zone 1,468,143
2026-01,Weekend evening,On-street,Zone 2,320,159
2026-01,Weekend evening,On-street,Zone 3,415,169
2026-01,Weekend evening,Ramps,Ramp 2,739,93
2026-01,Weekend evening,Ramps,Ramp 3,505,134
2026-01,Weekend evening,Surface lots,Lot 1,117,43
2026-01,Weekend evening,Surface lots,Lot 13,27,11
2026-01,Weekend evening,Surface lots,Lot 5,77,17
2026-01,Weekend evening,Surface lots,Lot 6,36,13
2026-01,Weekend evening,Surface lots,Lot 9,55,7
2026-02,Weekday afternoon,On-street,Zone 1,468,135
2026-02,Weekday afternoon,On-street,Zone 2,320,120
2026-02,Weekday afternoon,On-street,Zone 3,415,133
2026-02,Weekday afternoon,Ramps,Ramp 2,739,221
2026-02,Weekday afternoon,Ramps,Ramp 3,505,153
2026-02,Weekday afternoon,Surface lots,Lot 1,117,67
2026-02,Weekday afternoon,Surface lots,Lot 13,27,14
2026-02,Weekday afternoon,Surface lots,Lot 5,77,10
2026-02,Weekday afternoon,Surface lots,Lot 6,36,7
2026-02,Weekday afternoon,Surface lots,Lot 9,55,24
2026-02,Weekday evening,On-street,Zone 1,468,154
2026-02,Weekday evening,On-street,Zone 2,320,161
2026-02,Weekday evening,On-street,Zone 3,415,158
2026-02,Weekday evening,Ramps,Ramp 2,739,85
2026-02,Weekday evening,Ramps,Ramp 3,505,97
2026-02,Weekday evening,Surface lots,Lot 1,117,47
2026-02,Weekday evening,Surface lots,Lot 13,27,12
2026-02,Weekday evening,Surface lots,Lot 5,77,9
2026-02,Weekday evening,Surface lots,Lot 6,36,2
2026-02,Weekday evening,Surface lots,Lot 9,55,10
2026-02,Weekend evening,On-street,Zone 1,468,186
2026-02,Weekend evening,On-street,Zone 2,320,174
2026-02,Weekend evening,On-street,Zone 3,415,148
2026-02,Weekend evening,Ramps,Ramp 2,739,113
2026-02,Weekend evening,Ramps,Ramp 3,505,167
2026-02,Weekend evening,Surface lots,Lot 1,117,35
2026-02,Weekend evening,Surface lots,Lot 13,27,2
2026-02,Weekend evening,Surface lots,Lot 5,77,15
2026-02,Weekend evening,Surface lots,Lot 6,36,10
2026-02,Weekend evening,Surface lots,Lot 9,55,10
2026-03,Weekday afternoon,On-street,Zone 1,468,211
2026-03,Weekday afternoon,On-street,Zone 2,320,128
2026-03,Weekday afternoon,On-street,Zone 3,415,166
2026-03,Weekday afternoon,Ramps,Ramp 2,739,241
2026-03,Weekday afternoon,Ramps,Ramp 3,505,145
2026-03,Weekday afternoon,Surface lots,Lot 1,117,51
2026-03,Weekday afternoon,Surface lots,Lot 13,27,21
2026-03,Weekday afternoon,Surface lots,Lot 5,77,18
2026-03,Weekday afternoon,Surface lots,Lot 6,36,7
2026-03,Weekday afternoon,Surface lots,Lot 9,55,21
2026-03,Weekday evening,On-street,Zone 1,468,162
2026-03,Weekday evening,On-street,Zone 2,320,154
2026-03,Weekday evening,On-street,Zone 3,415,163
2026-03,Weekday evening,Ramps,Ramp 2,739,81
2026-03,Weekday evening,Ramps,Ramp 3,505,102
2026-03,Weekday evening,Surface lots,Lot 1,117,52
2026-03,Weekday evening,Surface lots,Lot 13,27,13
2026-03,Weekday evening,Surface lots,Lot 5,77,10
2026-03,Weekday evening,Surface lots,Lot 6,36,2
2026-03,Weekday evening,Surface lots,Lot 9,55,9
2026-03,Weekend evening,On-street,Zone 1,468,217
2026-03,Weekend evening,On-street,Zone 2,320,185
2026-03,Weekend evening,On-street,Zone 3,415,192
2026-03,Weekend evening,Ramps,Ramp 2,739,107
2026-03,Weekend evening,Ramps,Ramp 3,505,154
2026-03,Weekend evening,Surface lots,Lot 1,117,52
2026-03,Weekend evening,Surface lots,Lot 13,27,15
2026-03,Weekend evening,Surface lots,Lot 5,77,12
2026-03,Weekend evening,Surface lots,Lot 6,36,5
2026-03,Weekend evening,Surface lots,Lot 9,55,12
2026-04,Weekday afternoon,On-street,Zone 1,468,169
2026-04,Weekday afternoon,On-street,Zone 2,320,92
2026-04,Weekday afternoon,On-street,Zone 3,415,156
2026-04,Weekday afternoon,Ramps,Ramp 2,739,262
2026-04,Weekday afternoon,Ramps,Ramp 3,505,160
2026-04,Weekday afternoon,Surface lots,Lot 1,117,65
2026-04,Weekday afternoon,Surface lots,Lot 13,27,17
2026-04,Weekday afternoon,Surface lots,Lot 5,77,20
2026-04,Weekday afternoon,Surface lots,Lot 6,36,6
2026-04,Weekday afternoon,Surface lots,Lot 9,55,17
2026-04,Weekday evening,On-street,Zone 1,468,147
2026-04,Weekday evening,On-street,Zone 2,320,149
2026-04,Weekday evening,On-street,Zone 3,415,158
2026-04,Weekday evening,Ramps,Ramp 2,739,106
2026-04,Weekday evening,Ramps,Ramp 3,505,101
2026-04,Weekday evening,Surface lots,Lot 1,117,43
2026-04,Weekday evening,Surface lots,Lot 13,27,10
2026-04,Weekday evening,Surface lots,Lot 5,77,19
2026-04,Weekday evening,Surface lots,Lot 6,36,8
2026-04,Weekday evening,Surface lots,Lot 9,55,8
2026-04,Weekend evening,On-street,Zone 1,468,192
2026-04,Weekend evening,On-street,Zone 2,320,178
2026-04,Weekend evening,On-street,Zone 3,415,159
2026-04,Weekend evening,Ramps,Ramp 2,739,110
2026-04,Weekend evening,Ramps,Ramp 3,505,147
2026-04,Weekend evening,Surface lots,Lot 1,117,55
2026-04,Weekend evening,Surface lots,Lot 13,27,13
2026-04,Weekend evening,Surface lots,Lot 5,77,14
2026-04,Weekend evening,Surface lots,Lot 6,36,2
2026-04,Weekend evening,Surface lots,Lot 9,55,8
2026-05,Weekday afternoon,On-street,Zone 1,468,321
2026-05,Weekday afternoon,On-street,Zone 2,320,93
2026-05,Weekday afternoon,On-street,Zone 3,415,136
2026-05,Weekday afternoon,Ramps,Ramp 2,739,272
2026-05,Weekday afternoon,Ramps,Ramp 3,505,126
2026-05,Weekday afternoon,Surface lots,Lot 1,117,60
2026-05,Weekday afternoon,Surface lots,Lot 13,27,14
2026-05,Weekday afternoon,Surface lots,Lot 5,77,20
2026-05,Weekday afternoon,Surface lots,Lot 6,36,7
2026-05,Weekday afternoon,Surface lots,Lot 9,55,22
2026-05,Weekday evening,On-street,Zone 1,468,153
2026-05,Weekday evening,On-street,Zone 2,320,152
2026-05,Weekday evening,On-street,Zone 3,415,163
2026-05,Weekday evening,Ramps,Ramp 2,739,82
2026-05,Weekday evening,Ramps,Ramp 3,505,99
2026-05,Weekday evening,Surface lots,Lot 1,117,55
2026-05,Weekday evening,Surface lots,Lot 13,27,11
2026-05,Weekday evening,Surface lots,Lot 5,77,12
2026-05,Weekday evening,Surface lots,Lot 6,36,3
2026-05,Weekday evening,Surface lots,Lot 9,55,9
2026-05,Weekend evening,On-street,Zone 1,468,176
2026-05,Weekend evening,On-street,Zone 2,320,162
2026-05,Weekend evening,On-street,Zone 3,415,155
2026-05,Weekend evening,Ramps,Ramp 2,739,70
2026-05,Weekend evening,Ramps,Ramp 3,505,130
2026-05,Weekend evening,Surface lots,Lot 1,117,76
2026-05,Weekend evening,Surface lots,Lot 13,27,10
2026-05,Weekend evening,Surface lots,Lot 5,77,24
2026-05,Weekend evening,Surface lots,Lot 6,36,9
2026-05,Weekend evening,Surface lots,Lot 9,55,8
2026-06,Weekday afternoon,On-street,Zone 1,468,210
2026-06,Weekday afternoon,On-street,Zone 2,320,98
2026-06,Weekday afternoon,On-street,Zone 3,415,171
2026-06,Weekday afternoon,Ramps,Ramp 2,739,265
2026-06,Weekday afternoon,Ramps,Ramp 3,505,147
2026-06,Weekday afternoon,Surface lots,Lot 1,117,63
2026-06,Weekday afternoon,Surface lots,Lot 13,27,15
2026-06,Weekday afternoon,Surface lots,Lot 5,77,17
2026-06,Weekday afternoon,Surface lots,Lot 6,36,7
2026-06,Weekday afternoon,Surface lots,Lot 9,55,16
2026-06,Weekday evening,On-street,Zone 1,468,164
2026-06,Weekday evening,On-street,Zone 2,320,157
2026-06,Weekday evening,On-street,Zone 3,415,152
2026-06,Weekday evening,Ramps,Ramp 2,739,84
2026-06,Weekday evening,Ramps,Ramp 3,505,103
2026-06,Weekday evening,Surface lots,Lot 1,117,42
2026-06,Weekday evening,Surface lots,Lot 13,27,12
2026-06,Weekday evening,Surface lots,Lot 5,77,13
2026-06,Weekday evening,Surface lots,Lot 6,36,0
2026-06,Weekday evening,Surface lots,Lot 9,55,8
2026-06,Weekend evening,On-street,Zone 1,468,181
2026-06,Weekend evening,On-street,Zone 2,320,172
2026-06,Weekend evening,On-street,Zone 3,415,149
2026-06,Weekend evening,Ramps,Ramp 2,739,88
2026-06,Weekend evening,Ramps,Ramp 3,505,139
2026-06,Weekend evening,Surface lots,Lot 1,117,63
2026-06,Weekend evening,Surface lots,Lot 13,27,12
2026-06,Weekend evening,Surface lots,Lot 5,77,17
2026-06,Weekend evening,Surface lots,Lot 6,36,2
2026-06,Weekend evening,Surface lots,Lot 9,55,8
